listingId,price,bathRoom,sameDayUpdate,age,housingComplex,authorizedRealtor,furnished,onlineVisit,hasBranded,hasUpdateBooster,attr_ADSL,attr_Balkon,attr_Çelik Kapı,attr_Isıcam,attr_Kablo TV-Uydu,attr_Mutfak Doğalgazı,attr_Panel Kapı,attr_Parke,attr_Seramik Zemin,attr_Otopark - Açık,attr_PVC Doğrama,attr_Cadde Üzerinde,attr_Caddeye yakın,attr_E-5'e yakın,attr_Manzara - Şehir,attr_Merkezde,attr_Minibüs / Dolmuşa yakın,attr_Otobana yakın,attr_Toplu Ulaşıma yakın,attr_Ankastre Mutfak,attr_Duşakabin,attr_Laminant Mutfak,attr_Denize yakın,attr_Açık Yüzme Havuzu,attr_Ebeveyn Banyolu,attr_Kartonpiyer,attr_Spot Işık,attr_Bahçeli,attr_Isı Yalıtım,attr_Manzara - Doğa,attr_Ahşap Doğrama,attr_Barbekü,attr_Teras,total_features,insaat_var_mi,floor_count,net,gross,kuzey,güney,doğu,batı,rental_amount,total_room_count,avg_area_per_room,clicked,SimplifiedSubcategory_diger,SimplifiedSubcategory_mustakil-ev,SimplifiedSubcategory_villa,district_name_Yalı,district_name_nadir mahalle,district_name_sıradan mahalle,district_name_sıradan üstü mahalle,district_name_çok nadir mahalle,district_name_çok çok nadir mahalle,district_name_çok çok çok nadir mahalle,county_name_Akyazı,county_name_Arifiye,county_name_Diğer,county_name_Erenler,county_name_Geyve,county_name_Hendek,county_name_Karasu,county_name_Kocaali,county_name_Pamukova,county_name_Sapanca,county_name_Serdivan,heating_name_Kombi,heating_name_Yerden Isıtma,buildState_name_İkinci El,usage_name_Boş,usage_name_Kiracılı,usage_name_Mülk Sahibi,credit_name_Uygun Değil,barter_name_Yapılır,roomAndLivingRoom_1+1,roomAndLivingRoom_2+0,roomAndLivingRoom_2+1,roomAndLivingRoom_3+1,roomAndLivingRoom_4+1,roomAndLivingRoom_4+2,roomAndLivingRoom_5+1,roomAndLivingRoom_5+2,roomAndLivingRoom_6+1,roomAndLivingRoom_6+2,roomAndLivingRoom_Diğer
147682-45,0.1906821424893714,0.47058823529411764,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.09090909090909091,0,0.33333333333333337,0.3162790697674419,0.2254974207811352,1,1,1,1,0.0,0.36363636363636365,0.40625,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
153064-65,0.08329287847360137,0.11764705882352941,0,0.0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.2727272727272727,1,0.33333333333333337,0.13023255813953488,0.08548268238761986,0,0,0,1,0.0,0.1818181818181818,0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
138402-2143,0.08917722170734219,0.11764705882352941,0,0.07692307692307693,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0.5454545454545454,0,0.6666666666666666,0.19534883720930235,0.17391304347826111,0,1,0,1,0.0,0.2727272727272727,0.3125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
95423-96,0.09064830751577739,0.23529411764705882,1,0.38461538461538464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.33333333333333337,0.3441860465116279,0.28445099484156267,0,0,0,0,0.0,0.4545454545454545,0.36458333333333337,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123712-465,0.2348147167424276,0.47058823529411764,0,0.1076923076923077,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.33333333333333337,0.32558139534883723,0.28445099484156267,0,0,0,0,0.0,0.4545454545454545,0.34375,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
122716-1021,0.04063139002898039,0.11764705882352941,0,0.0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0.5151515151515151,1,0.33333333333333337,0.15813953488372093,0.10022107590272675,1,1,1,1,0.0,0.1818181818181818,0.34375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
93427-1575,0.13183871015196316,0.23529411764705882,0,0.0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0.4545454545454546,0,0.33333333333333337,0.3441860465116279,0.24760501105379548,1,0,0,1,0.0,0.36363636363636365,0.44375000000000003,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54537-3546,0.09064830751577739,0.11764705882352941,0,0.0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0.8787878787878788,1,0.16666666666666666,0.13953488372093023,0.09285187914517332,1,1,0,0,0.0,0.1818181818181818,0.30208333333333337,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76162-320,0.11418568045074069,0.11764705882352941,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.33333333333333337,0.18604651162790697,0.12969786293294047,1,0,0,0,0.0,0.2727272727272727,0.296875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
147708-176,0.06269767715550847,0.11764705882352941,0,0.09230769230769231,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0.6363636363636364,0,0.33333333333333337,0.13953488372093023,0.08548268238761986,1,1,1,1,0.0,0.1818181818181818,0.30208333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
